identified_template,type,corr_oracle_templates,num_messages,id_ground
[ mDNS_DeregisterInterface:  Frequent  transitions  for  interface  en0   ( <*> )  ] ,Match,['mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>)'],2,E261
[ <*>  :  Purged  contact  hashes ] ,Match,['<*>:<*>:<*>.<*> : Purged contact hashes'],2,E69
[ <*>  :  BTLE  scanning  started ] ,Match,['<*>:<*>:<*>.<*> : BTLE scanning started'],2,E65
[ IOPMrootDomain:  idle  cancel   state <*> ] ,Match,"['IOPMrootDomain: idle cancel, state <*>']",3,E250
[ arpt:  <*>:  arpt:  wake  reason:  wake  on  tcp  timeout ] ,Match,['ARPT: <*>.<*>: ARPT: Wake Reason: Wake on TCP Timeout'],2,E132
[ hibernate_alloc_pages  act  <*>   inact  <*>   anon  <*>   throt <*> spec  <*>   wire  <*>   wireinit <*> ] ,Match,"['hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>']",2,E227
[ <*>  done:  last_valid_compact_indx  <*> ] ,Partial,"['hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>', 'hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>']",3,E242
[ Opened  file  /var/log/SleepWakeStacks.bin   size <*> extents <*> maxio <*> ssd <*> ] ,Partial,"['Opened file <*>, size <*>, extents <*>, maxio <*> ssd <*>']",2,E280
[ network:  no  response  from  server   reachability <*> queryretries <*> ] ,Match,"['NETWORK: no response from server, reachability, <*>, queryRetries, <*>']",4,E270
[ Unexpected  payload  found  for  message <*> dataLen <*> ] ,Match,"['Unexpected payload found for message <*>, dataLen <*>']",2,E327
[ CCFile::captureLog ] ,Match,['CCFile::captureLog'],17,E167
[ en0:  Supported  channels <*> 2 <*> 4 <*> 6 <*> 8 <*> 10 <*> 12 <*> 36 <*> 44 <*> 52 <*> 60 <*> 100 <*> 108 <*> 116 <*> 124 <*> 132 <*> 140 <*> 149 <*> 157 <*> ] ,Partial,['en0: Supported channels <*>'],2,E210
[ arpt:  <*>:  airport_brcm43xx::powerchange:  system  <*>  -  full  <*>/  dark  <*>  /  maintenance  <*> ] ,Partial,['ARPT: <*>.<*>: AirPort_<*>::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake'],12,E127
[ ccfile::capturelogrun  skipping  current  file  dir  file   [ <*> <*> <*>.078442 ] -io80211family-008.pcapng   current  file   [ <*> <*> <*>.078442 ] -io80211family-008.pcapng ] ,Partial,"['CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, Current File [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>']",31,E172
[ ccfile::copyfile  filename  is   [ <*> <*> <*> ] -io80211family-007.pcapng   source  path:/var/log/corecapture<*>/io80211awdlpeermanager// [ <*> <*> <*> ] -io80211family-007.pcapng   dest  path:/library/logs/crashreporter/corecapture<*>/ [ <*> <*> <*> ]  = authfail:sts:5_rsn:0/io80211awdlpeermanager// [ <*> <*> <*> ] -io80211family-007.pcapng ] ,Partial,"['CCFile::copyFile fileName is [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, source path:<*>, dest path:<*>']",9,E174
[ arpt:  <*>:  framerdy  <*>  bmccmd  <*>  framecnt <*> ] ,Match,['ARPT: <*>.<*>: framerdy <*> bmccmd <*> framecnt <*>'],8,E133
[ <*>  :  Starting  AirDrop  server  for  user <*> on  wake ] ,Match,['<*>:<*>:<*>.<*> : Starting AirDrop server for user <*> on wake'],2,E72
[ arpt:  <*>:  wl0:  setup_keepalive:  remote  ip:  <*> ] ,Match,['ARPT: <*>.<*>: wl0: setup_keepalive: Remote IP: <*>'],8,E147
[   figbytestream    figbytestreamstatslogoneread:  bytestream  read  of  <*>  bytes    <*>  took  <*>  sec.  to  complete   <*>  reads   =   <*>  sec. ] ,Partial,"['<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*>.<*> <*> to complete, <*> reads >= <*> sec.']",3,E99
[ CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry  clearing  out  any  previous  subscriptions ] ,Match,['CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions'],9,E176
[ ccfile::copyfile  filename  is   [ <*> <*> <*> ] -airportbrcm4360_logs-025.txt   source  path:/var/log/corecapture<*>/driverlogs// [ <*> <*> <*> ] -airportbrcm4360_logs-025.txt   dest  path:/library/logs/crashreporter/corecapture<*>/ [ <*> <*> <*> ]  = authfail:sts:5_rsn:0/driverlogs// [ <*> <*> <*> ] -airportbrcm4360_logs-025.txt ] ,Partial,"['CCFile::copyFile fileName is [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, source path:<*>, dest path:<*>']",4,E174
[ network  changed:  v6 ( <*> )   dns-  proxy- ] ,Partial,['network changed: <*>(<*>) DNS- Proxy-'],2,E265
[ ccfile::copyfile  filename  is   [ <*> <*> <*> ] -ccioreporter-044.xml   source  path:/var/log/corecapture<*>/onestats// [ <*> <*> <*> ] -ccioreporter-044.xml   dest  path:/library/logs/crashreporter/corecapture<*>/ [ <*> <*> <*> ]  = authfail:sts:5_rsn:0/onestats// [ <*> <*> <*> ] -ccioreporter-044.xml ] ,Partial,"['CCFile::copyFile fileName is [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, source path:<*>, dest path:<*>']",8,E174
[ arpt:  <*>:  wlc_dump_aggfifo: ] ,Match,['ARPT: <*>.<*>: wlc_dump_aggfifo:'],6,E151
[  [ <*> ]     CRABS    crabsFlumeHostUnavailable:   [ <*> ]   Byte  flume  reports  host  unavailable. ] ,Match,['[<*>:<*>:<*>.<*>] <<<< CRABS >>>> crabsFlumeHostUnavailable: [<*>] Byte flume reports host unavailable.'],2,E14
[ dosavechannels286:  will  write  to:  /library/logs/crashreporter/corecapture/ioreporters/ [ <*> <*> <*> ]   -  assocfail:sts:5_rsn:0.xml ] ,Partial,['doSaveChannels@<*>: Will write to: <*>'],6,E204
[ hibernate  image  path:  /var/vm/sleepimage ] ,Partial,['hibernate image path: <*>'],2,E226
[ hibernate_flush_memory:  buffer_cache_gc  freed  up  <*>  wired  pages ] ,Match,['hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages'],2,E228
[ hibernate_machine_init  pagesdone  <*>  sum2  <*>   time:  <*>  ms   disk ( <*> )   <*>  mb/s   comp  bytes:  <*>  time:  <*>  ms  <*>  mb/s   crypt  bytes:  <*>  time:  <*>  ms  <*>  mb/s ] ,Match,"['hibernate_machine_init pagesDone <*> sum2 <*>, time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s']",2,E229
[ ASSERTION  FAILED:  dvcAddrRef   =    (  ( void   ) <*> )   - [ DriverServices  getDeviceAddress: ]   line: <*> ] ,Match,['ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>'],4,E155
[ hibernate_machine_init  reading ] ,Match,['hibernate_machine_init reading'],2,E230
[ assertion  failed:  15G1510:  <*>  + <*> [ 10D2E324-788C-30CC-A749-55AE67AEC7BC ] :  <*> ] ,Partial,['assertion failed: <*> [<*>-<*>-<*>-<*>-<*>]: <*>'],3,E154
[ jemmytest ] ,Match,['jemmytest'],10,E253
[ hibernate_setup ( <*> )   took  <*>  ms ] ,Match,['hibernate_setup(<*>) took <*> ms'],2,E239
"[    [ IOBluetoothFamily ]  [ ProcessBluetoothTransportShowsUpActionWL ]   --  calling  ""IOBluetoothFamilys""  registerService (  )   --  <*>  --  <*>  --  <*>   ] ",Match,"[""**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- calling IOBluetoothFamily's registerService() -- <*> -- <*> -- <*> ****""]",2,E6
[ INIT  --  Host  controller  is  published ] ,Match,['INIT -- Host controller is published'],2,E246
[ polled  file  major <*> minor <*> blocksize <*> pollers <*> ] ,Match,"['polled file major <*>, minor <*>, blocksize <*>, pollers <*>']",3,E292
[ BuildActDeviceEntry  exit ] ,Match,['BuildActDeviceEntry exit'],2,E160
[ Wake  reason:  ARPT   ( Network )  ] ,Match,['Wake reason: ARPT (Network)'],3,E336
[ warning:  hibernate_page_list_setall  skipped  <*>  xpmapped  pages ] ,Match,['WARNING: hibernate_page_list_setall skipped <*> xpmapped pages'],2,E340
[  [ BluetoothHIDDeviceController ]   EventServiceConnectedCallback ] ,Match,['[BluetoothHIDDeviceController] EventServiceConnectedCallback'],2,E23
[ BuildActDeviceEntry  enter ] ,Match,['BuildActDeviceEntry enter'],2,E159
[ KeychainGetICDPStatus:  status:  off ] ,Match,['KeychainGetICDPStatus: status: off'],8,E257
[ arpt:  <*>:  airport_brcm43xx::powerchange:  system  sleep ] ,Partial,['ARPT: <*>.<*>: AirPort_<*>::powerChange: System Sleep'],17,E126
[ en0:  Supported  channels <*> 2 <*> 4 <*> 6 <*> 8 <*> 10 <*> 12 <*> 36 <*> 44 <*> 52 <*> 60 <*> 100 <*> 108 <*> 116 <*> 124 <*> 132 <*> 140 <*> 149 <*> 157 <*> 165 ] ,Partial,['en0: Supported channels <*>'],2,E210
[ - [ SOAPParser:<*>  parser:didStartElement:namespaceURI:qualifiedName:attributes: ]   Type  not  found  in  EWSItemType  for  ExchangePersonIdGuid   ( t:ExchangePersonIdGuid )  ] ,Match,['-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid)'],4,E47
[ CCLogTap::profileRemoved   Owner:  <*>   Name:  IO80211AWDLPeerManager ] ,Partial,"['CCLogTap::profileRemoved, Owner: com.apple.iokit.<*>, Name: <*>']",2,E177
"[  [ accounts ]   current  connection   nsxpcconnection:  <*>  connection  from  pid  <*>   ""doesnt""  have  account  access. ] ",Match,"[""[Accounts] Current connection, <NSXPCConnection: <*>> connection from pid <*>, doesn't have account access.""]",2,E21
"[  [ Accounts ]   Failed  to  update  account  with  identifier  76FE6715-3D27-4F21-AA35-C88C1EA820E8   error:  Error  Domain = ABAddressBookErrorDomain  Code = <*> "" ( null ) "" ] ",Partial,"['[Accounts] Failed to update account with identifier <*>-<*>-<*>-<*>-<*>, error: Error Domain=ABAddressBookErrorDomain Code=<*> ""(null)""']",2,E22
"[ <*>  <*>  googlesoftwareupdateagent [ <*>/<*> ]    [ lvl = <*> ]   - [ ksoutofprocessfetcher ( privatemethods )   helperdidterminate: ]   ksoutofprocessfetcher  fetch  ended  for  url:  ""https://<*>/service/update2cup2hreq = <*> = <*>"" ] ",Partial,"['<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>""']",3,E85
[ cgxdisplaydidwakenotification   [ <*> ] :  posting  kcgsdisplaydidwake ] ,Match,['CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake'],3,E184
[ Peripheral  manager  is  not  powered  on ] ,Match,['Peripheral manager is not powered on'],3,E287
"[ Cocoa  scripting  error  for  ""<*>:""  four  character  codes  must  be  four  characters  long. ] ",Match,"[""Cocoa scripting error for '<*>': four character codes must be four characters long.""]",71,E188
[    [ BroadcomBluetoothHostControllerUSBTransport ]  [ start ]   --  Completed   ( matched  on  Device )   --  <*>   ] ,Match,['**** [BroadcomBluetoothHostControllerUSBTransport][start] -- Completed (matched on Device) -- <*> ****'],3,E5
[ hibernate_newruntime_map  time: <*> ms   IOPolledFilePollersOpen (  )    ml_get_interrupts_enabled <*> ] ,Match,"['hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>']",2,E232
[ IMMacNotificationCenterManager:  <*>:  NC  Disabled:  NO ] ,Match,['<IMMacNotificationCenterManager: <*>>:    NC Disabled: NO'],5,E102
[ IMMacNotificationCenterManager:  <*>:  DND  Enabled:  NO ] ,Match,['<IMMacNotificationCenterManager: <*>>:   DND Enabled: NO'],2,E103
"[ arpt:  <*>:  iopmpowersource  information:  onwake   sleeptype:  normal  sleep   ""externalconnected:""  no   ""timeremaining:""  <*>  ] ",Match,"[""ARPT: <*>.<*>: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>,""]",2,E137
[ IOHibernatePollerOpen ( <*> )  ] ,Match,['IOHibernatePollerOpen(<*>)'],2,E249
[ <*>  completed  -  took  <*>  msecs ] ,Mismatch,"['hibernate_rebuild completed - took <*> msecs', 'vm_compressor_fastwake_warmup completed - took <*> msecs']",2,E236
[ bitmap_size  <*>   previewsize  <*>   writing  <*>  pages    <*> ] ,Match,"['bitmap_size <*>, previewSize <*>, writing <*> pages @ <*>']",2,E156
"[ db  error: <*> ""no  such  table:  tb_c2cmsg_2909288299"" ] ",Partial,"['DB Error: <*> ""no such table: tb_<*>_<*>""']",3,E197
[ - [ netclientconnection  evaluatecrazyivan46 ]   ci46  -  perform  crazyivan46  qq.10018  <*>  <*> ] ,Partial,['-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>.<*> <*> <*>:<*>'],5,E43
[ - [ NETClientConnection  effectiveBundleID ]   using  process  name  CalendarAgent  as  bundle  ID   ( this  is  expected  for  daemons  without  bundle  ID ] ,Match,['-[NETClientConnection effectiveBundleID] using process name CalendarAgent as bundle ID (this is expected for daemons without bundle ID'],4,E42
[ could  discard  act  <*>  inact  <*>  purgeable  <*>  spec  <*>  cleaned <*> ] ,Match,['could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>'],2,E194
[ AppleActuatorHIDEventDriver:  stop ] ,Match,['AppleActuatorHIDEventDriver: stop'],2,E118
[    [ IOBluetoothHostControllerUSBTransport ]  [ start ]   --  completed  --  result   =   TRUE  --  <*>   ] ,Match,['**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- <*> ****'],2,E8
[ Unable  to  start  NetBIOS  name  service: ] ,Match,['Unable to start NetBIOS name service:'],2,E326
[ ChromeExistion  main  isUndetectWithCommand   = <*> ] ,Match,['ChromeExistion main isUndetectWithCommand = <*>'],2,E186
[  [ <*> ]    [ Adding   [ CalDAVAccountRefreshQueueableOperation:  <*>;  Sequence: <*> ]   to  failed  operations. ]  ] ,Partial,['[com.apple.calendar.store.log.caldav.queue] [Adding [<CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>>] to failed operations.]'],3,E31
"[ Service  ""<*>""  tried  to  hijack  endpoint  ""<*>""  from  owner:  <*> ] ",Partial,"['Service ""com.apple.xpc.launchd.unmanaged.loginwindow.<*>"" tried to hijack endpoint ""com.apple.tsm.uiserver"" from owner: com.apple.SystemUIServer.agent']",3,E306
[ <*>  <*>  googlesoftwareupdateagent [ <*>/<*> ]    [ lvl = <*> ]   - [ ksagentapp ( keystonedelegate )   updateenginefinishedwitherrors: ]   keystone  finished:  errors = <*> ] ,Match,['<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>'],2,E78
"[ <*>  <*>  googlesoftwareupdateagent [ <*>/<*> ]    [ lvl = <*> ]   - [ ksoutofprocessfetcher  beginfetchwithdelegate: ]   ksoutofprocessfetcher  start  fetch  from  url:  ""https://<*>/service/update2cup2hreq = <*> = <*>"" ] ",Partial,"['<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher start fetch from URL: ""<*>""']",2,E84
[ Page  bounds <*> 0 <*> 400 ] ,Partial,"['Page bounds {{<*>, <*>}, {<*>, <*>}}']",2,E281
"[ unable  <*>  <*>  <*>  <*>:   (   ""nslayoutconstraint:<*>  h: [ nsimageview:<*> ( <*> )  ] ""   ""nslayoutconstraint:<*>  h:- ( <*> ) - [ nsimageview:<*> ]    ( names:  pageitemcell:<*>   "":pageitemcell:<*>""   ) ""   ""nslayoutconstraint:<*>  ""nsview-encapsulated-layout-width""  h: [ pageitemcell ( <*> )  ]    ( names:  pageitemcell:<*>   ) ""   ""nslayoutconstraint:<*>  h: [ nsimageview:<*> ] - ( <*> ) - [ nstextfield:<*> ] ""   ""nslayoutconstraint:<*>  h: [ nstextfield:<*> ] - ( <*> ) -   ( names:  pageitemcell:<*>   "":pageitemcell:<*>""   ) ""   ""nslayoutconstraint:<*>  h: [ nstextfield:<*> ] - (  = nsspace ( <*> )  ) - [ nstextfield:<*> ] ""   )   will  <*>  <*>  <*>  <*>  <*>  <*>  nslayoutconstraint:<*>  h: [ nsimageview:<*> ( <*> )  ]   set  <*>  nsuserdefault  nsconstraintbasedlayoutvisualizemutuallyexclusiveconstraints  <*>  yes  <*>  <*>  - [ nswindow  visualizeconstraints: ]   <*>  <*>  <*>  <*>  <*>.  and/or   <*>  <*>  <*>  <*>  <*>  <*>  <*>  <*>  <*>. ] ",Partial,"['Unable to simultaneously satisfy constraints: ( ""<NSLayoutConstraint:<*> H:[NSImageView:<*>(<*>)]>"", ""<NSLayoutConstraint:<*> H:|-(<*>)-[NSImageView:<*>]   (Names: PageItemCell:<*>, \'|\':PageItemCell:<*> )>"", ""<NSLayoutConstraint:<*> \'NSView-Encapsulated-Layout-Width\' H:[PageItemCell(<*>)]   (Names: PageItemCell:<*> )>"", ""<NSLayoutConstraint:<*> H:[NSImageView:<*>]-(<*>)-[NSTextField:<*>]>"", ""<NSLayoutConstraint:<*> H:[NSTextField:<*>]-(<*>)-|   (Names: PageItemCell:<*>, \'|\':PageItemCell:<*> )>"", ""<NSLayoutConstraint:<*> H:[NSTextField:<*>]-(>=NSSpace(<*>))-[NSTextField:<*>]>"" )  Will attempt to recover by breaking constraint <NSLayoutConstraint:<*> H:[NSImageView:<*>(<*>)]>  Set the NSUserDefault NSConstraintBasedLayoutVisualizeMutuallyExclusiveConstraints to YES to have -[NSWindow visualizeConstraints:] automatically called when this happens.  And/or, break on objc_exception_throw to catch this in the debugger.']",2,E325
[ Unrecognized  XSSimpleTypeDefinition:  OneOff ] ,Match,['Unrecognized XSSimpleTypeDefinition: OneOff'],2,E329
[ session  <*>  destroyed ] ,Match,['Session <*> destroyed'],2,E309
[ efi  pagecount <*> ] ,Match,['efi pagecount <*>'],2,E205
[  [ BluetoothHIDDeviceController ] ERROR:  Could  not  find  the  disconnected  object ] ,Match,['[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object'],2,E25
